fault_mode,windows,mean_normality_score,mean_z_score,mean_hybrid_score,anomaly_rate
mechanical_looseness,449,-0.20303642190813667,3.4470139394446693,3.650050361352806,0.5679287305122495
misalignment,449,-0.18018655970484695,3.1852476535374197,3.365434213242267,0.5679287305122495
unbalance,449,-0.14634292914401084,2.801997141792641,2.9483400709366516,0.5679287305122495
bearing_fault,449,-0.13373916770048314,2.645094831925377,2.77883399962586,0.5478841870824054
healthy,449,-0.05869155060186521,2.0467416056316075,2.105433156233473,0.028953229398663696
